Date: <<2013/03/31 22:15:31>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:15:31>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:15:31>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:15:31>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:15:31>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:15:31>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:46:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:46:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:46:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:46:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2013/03/31 22:46:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method Dev_Project_Ksike::onFind() should not be called statically, assuming $this from incompatible context>> 
