Date: <<2012/12/05 15:11:45>>, File: <<OrdinaryFC.php>>, Line: <<49>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 15:12:08>>, File: <<OrdinaryFC.php>>, Line: <<49>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 15:12:10>>, File: <<OrdinaryFC.php>>, Line: <<49>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 15:17:40>>, File: <<OrdinaryFC.php>>, Line: <<49>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 15:18:25>>, File: <<OrdinaryFC.php>>, Line: <<49>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 15:18:51>>, File: <<OrdinaryFC.php>>, Line: <<49>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 15:19:07>>, File: <<OrdinaryFC.php>>, Line: <<49>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 15:19:15>>, File: <<OrdinaryFC.php>>, Line: <<49>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 15:42:50>>, File: <<OrdinaryFC.php>>, Line: <<49>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:52:43>>, File: <<OrdinaryFC.php>>, Line: <<54>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:53:00>>, File: <<OrdinaryFC.php>>, Line: <<54>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:54:41>>, File: <<OrdinaryFC.php>>, Line: <<54>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:55:05>>, File: <<OrdinaryFC.php>>, Line: <<52>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:56:19>>, File: <<OrdinaryFC.php>>, Line: <<52>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:56:27>>, File: <<OrdinaryFC.php>>, Line: <<52>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:57:09>>, File: <<OrdinaryFC.php>>, Line: <<53>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:58:21>>, File: <<OrdinaryFC.php>>, Line: <<53>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:58:22>>, File: <<OrdinaryFC.php>>, Line: <<53>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:58:45>>, File: <<OrdinaryFC.php>>, Line: <<53>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 18:58:55>>, File: <<OrdinaryFC.php>>, Line: <<54>>, Path: <<core/src/php/ksl/package/front/control/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: count>> 
Date: <<2012/12/05 19:21:10>>, File: <<DriverManager.php>>, Line: <<36>>, Path: <<core/src/php/ksl/base/bundles/>>, Mode: <<E_NOTICE>>, Description: <<Undefined index: driver>> 
Date: <<2012/12/05 19:21:46>>, File: <<DriverManager.php>>, Line: <<36>>, Path: <<core/src/php/ksl/base/bundles/>>, Mode: <<E_NOTICE>>, Description: <<Undefined index: driver>> 
Date: <<2012/12/05 19:24:30>>, File: <<TesIn.php>>, Line: <<84>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined index: sxx>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:14>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:02:41>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:04:56>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 14:08:39>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 20:27:01>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/03/20 22:06:29>>, File: <<XML.php>>, Line: <<139>>, Path: <<lib/DvXML/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: xml>> 
Date: <<2013/03/24 20:51:55>>, File: <<XML.php>>, Line: <<139>>, Path: <<lib/DvXML/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: xml>> 
Date: <<2013/03/24 20:51:58>>, File: <<XML.php>>, Line: <<139>>, Path: <<lib/DvXML/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: xml>> 
Date: <<2013/03/24 20:53:49>>, File: <<XML.php>>, Line: <<139>>, Path: <<lib/DvXML/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: xml>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
Date: <<2013/04/12 11:46:11>>, File: <<TesIn.php>>, Line: <<220>>, Path: <<project/testedproj/plugins/TesIn/server/>>, Mode: <<E_NOTICE>>, Description: <<Undefined variable: typ3>> 
