Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFind() should not be called statically, assuming $this from incompatible context>> 
Date: <<2012/12/05 15:18:51>>, File: <<Dir.php>>, Line: <<102>>, Path: <<core/src/php/ksl/package/dir/proxy/>>, Mode: <<E_STRICT>>, Description: <<Non-static method TesIn::onFinish() should not be called statically, assuming $this from incompatible context>> 
